cod_ine,anio,inmuebles_total,inmuebles_persona_fisica,inmuebles_sociedades,inmuebles_otras_entidades,fuente
12027,2024,17677,16291,1239,147,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12027,2025,17761,16396,1223,142,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12032,2024,20286,19170,788,328,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12032,2025,20337,19280,724,333,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12040,2024,86928,81493,4185,1250,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12040,2025,87243,82018,3989,1236,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12084,2024,14199,13430,639,130,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12084,2025,14219,13490,602,127,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12126,2024,14894,14311,404,179,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12126,2025,14929,14423,329,177,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12135,2024,24878,23645,1099,134,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12135,2025,24891,23781,989,121,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12138,2024,21021,19774,946,301,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
12138,2025,21086,19986,806,294,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13005,2024,15935,14831,654,450,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13005,2025,15954,14871,641,442,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13034,2024,40467,38384,1260,823,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13034,2025,40686,38587,1281,818,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13071,2024,26355,24833,724,798,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13071,2025,26353,24882,684,787,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13082,2024,18799,17483,958,358,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13082,2025,18785,17551,884,350,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13087,2024,17029,15799,677,553,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
13087,2025,16986,15776,658,552,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
14021,2024,157025,147664,5111,4250,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
14021,2025,158277,148824,5234,4219,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
14038,2024,20201,18678,1133,390,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
14038,2025,20249,18820,1054,375,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
14056,2024,14627,13763,365,499,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
14056,2025,14652,13802,358,492,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15002,2024,16526,16087,323,116,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15002,2025,16683,16259,316,108,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15005,2024,15545,15137,274,134,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15005,2025,15591,15225,226,140,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15019,2024,17119,16684,267,168,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15019,2025,17157,16758,240,159,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15030,2024,128057,122001,3951,2105,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15030,2025,128727,122830,3930,1967,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15031,2024,15400,14861,369,170,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15031,2025,15418,14909,358,151,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15036,2024,40784,37446,1021,2317,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15036,2025,40832,37500,1036,2296,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15054,2024,19380,18688,518,174,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15054,2025,19443,18829,448,166,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15058,2024,19357,18494,624,239,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15058,2025,19471,18611,640,220,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15073,2024,15993,15126,575,292,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15073,2025,16056,15249,541,266,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15078,2024,54141,52431,1215,495,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
15078,2025,54407,52699,1213,495,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
16078,2024,31034,29761,871,402,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
16078,2025,31113,30005,710,398,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17023,2024,25263,23420,1507,336,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17023,2025,25269,23496,1437,336,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17066,2024,20800,17858,2396,546,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17066,2025,20794,17935,2294,565,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17079,2024,60101,52586,6342,1173,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17079,2025,60025,52700,6040,1285,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17095,2024,28804,25509,2656,639,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17095,2025,28762,25641,2524,597,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
17114,2024,15343,14016,1130,197,"Dirección General del Catastro, padrón urbano residencial por tipo de persona fiscal"
