cod_ine,anio,compraventas,trimestres_tx,viviendas,anio_referencia,tasa_rotacion,precio_m2,trimestres_precio,crecimiento_precio,aceleracion_precio,renta_media,crecimiento_renta,desacoplamiento_precio_renta,pct_propiedad_sociedades,variacion_propiedad_sociedades,elegible_score_principal
15054,2005,701,4,21735,2021,3.2252127904301817,984.1919896640828,4.0,,,,,,,,False
15058,2005,563,4,19268,2021,2.921943118123313,1448.466772151899,4.0,,,,,,,,False
15073,2005,523,4,17097,2021,3.059016201672808,1038.29375,4.0,,,,,,,,False
15078,2005,1124,4,56746,2021,1.9807563528706869,1790.7032085561498,4.0,,,,,,,,False
16078,2005,1483,4,31611,2021,4.691404890702604,1523.9088662790698,4.0,,,,,,,,False
17023,2005,943,4,25589,2021,3.6851772245886902,1981.7744084136718,4.0,,,,,,,,False
17066,2005,1098,4,21062,2021,5.213180134839996,1597.420260782347,4.0,,,,,,,,False
17079,2005,2573,4,50333,2021,5.111954383803866,2150.1187,4.0,,,,,,,,False
17095,2005,1808,4,25496,2021,7.0913084405396924,1957.8246025104602,4.0,,,,,,,,False
17114,2005,717,4,16713,2021,4.290073595404775,1624.285518292683,4.0,,,,,,,,False
17155,2005,978,4,11642,2021,8.400618450438069,1646.0275084554678,4.0,,,,,,,,False
18087,2005,2281,4,141257,2021,1.6147872317832037,1860.7704371584698,4.0,,,,,,,,False
18140,2005,1103,4,32841,2021,3.3586066197740627,1468.249375,4.0,,,,,,,,False
19130,2005,1940,4,41937,2021,4.625986598946038,2203.5102547354672,4.0,,,,,,,,False
20030,2005,294,4,13535,2021,2.172146287403029,2511.3077922077914,4.0,,,,,,,,False
20045,2005,946,4,28045,2021,3.3731502941700837,2561.382228490832,4.0,,,,,,,,False
20067,2005,453,4,17999,2021,2.5168064892494026,2675.906666666667,4.0,,,,,,,,False
20069,2005,1826,4,94733,2021,1.92752261619499,3516.356010230179,4.0,,,,,,,,False
21041,2005,3127,4,68714,2021,4.550746572750822,1464.5459361830221,4.0,,,,,,,,False
22125,2005,1018,4,29309,2021,3.4733358354089185,1661.2148199445985,4.0,,,,,,,,False
23005,2005,316,4,20048,2021,1.576217079010375,931.5858611825194,4.0,,,,,,,,False
23050,2005,2254,4,58293,2021,3.8666735285540286,1445.7987096774193,4.0,,,,,,,,False
23055,2005,762,4,29385,2021,2.59315977539561,1075.2832417582417,4.0,,,,,,,,False
