cod_ine,anio,renta_media,fuente
01031,2019,32293.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01031,2020,29314.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01031,2021,31876.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01031,2022,32660.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01031,2023,37085.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01032,2015,24579.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01032,2016,24589.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01032,2017,25669.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01032,2018,26064.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01032,2019,27252.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01032,2020,24028.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01032,2021,25541.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01032,2022,25280.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01032,2023,29263.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01033,2015,26163.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01033,2016,26168.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01033,2017,27363.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01033,2018,28670.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01033,2019,28894.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01033,2020,25706.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01033,2021,26133.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01033,2022,27198.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01033,2023,30085.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01034,2015,31208.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01034,2016,41374.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01034,2017,30517.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01034,2018,30609.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01034,2019,32546.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01034,2020,34592.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01034,2021,35206.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01034,2022,30077.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01034,2023,34131.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01036,2015,32864.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01036,2016,32889.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01036,2017,32820.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01036,2018,33426.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01036,2019,35859.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01036,2020,33686.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01036,2021,34941.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01036,2022,36469.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01036,2023,39586.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01037,2015,33591.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01037,2016,31356.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01037,2017,33158.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01037,2018,35741.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01037,2020,34946.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01037,2021,47797.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01037,2022,37820.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01037,2023,41965.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01039,2015,28165.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01039,2016,27790.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01039,2017,29455.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01039,2018,28463.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01039,2019,32728.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01039,2020,29895.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01039,2021,31072.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01039,2022,29867.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01039,2023,32628.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01041,2015,27380.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01041,2016,26853.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01041,2017,24012.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01041,2018,29135.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01041,2019,28277.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01041,2020,23941.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01041,2021,25115.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01041,2022,24239.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01041,2023,27026.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01042,2015,30692.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01042,2016,31048.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01042,2017,32685.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01042,2018,33098.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01042,2019,34062.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01042,2020,34579.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01042,2021,35318.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01042,2022,35954.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01042,2023,39103.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01043,2015,27423.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01043,2016,28289.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01043,2017,27712.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01043,2018,28044.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01043,2019,29715.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01043,2020,28593.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01043,2021,29812.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01043,2022,31255.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01043,2023,35832.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01044,2015,32808.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01044,2016,34235.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01044,2017,31513.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01044,2018,35787.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01044,2019,34554.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01044,2020,35775.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01044,2021,36072.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01044,2022,35415.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01044,2023,38447.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01046,2015,33964.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01046,2016,34865.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01046,2017,35902.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01046,2018,35576.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01046,2019,35974.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01046,2020,37028.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01046,2021,38940.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01046,2022,41500.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01046,2023,43823.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01047,2015,35804.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01047,2016,34032.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01047,2017,35251.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01047,2018,37257.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01047,2019,38201.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01047,2020,36604.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01047,2021,38407.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01047,2022,41358.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01047,2023,46925.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01049,2015,26353.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01049,2016,29580.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01049,2017,28382.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01049,2018,26084.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01049,2019,29666.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01049,2020,31445.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01049,2021,31580.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01049,2022,31040.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01049,2023,34179.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01051,2015,29511.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01051,2016,30235.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01051,2017,30437.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01051,2018,30410.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01051,2019,32180.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01051,2020,32303.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01051,2021,32252.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01051,2022,34555.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01051,2023,36415.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01052,2015,31424.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
01052,2016,31220.0,"INE, Atlas de distribución de renta de los hogares, tabla 30824"
