cod_ine,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico,proyeccion_duracion_max_ola_calor_dias,proyeccion_grados_dia_refrigeracion,proyeccion_racha_seca_max_dias,tendencia_asequibilidad,tendencia_turismo,tendencia_especulacion,tendencia_gentrificacion,percentil_proyeccion_duracion_max_ola_calor_dias,percentil_proyeccion_grados_dia_refrigeracion,percentil_proyeccion_racha_seca_max_dias,percentil_tendencia_asequibilidad,percentil_tendencia_turismo,percentil_tendencia_especulacion,percentil_tendencia_gentrificacion,score_riesgo_climatico,n_tendencias_validas,score_tendencia_presion,elegible_score,score_riesgo_futuro,metodo,version_metodologia
28130,2023,2041-2060,SSP2-4.5,ANOMALY,21.956666564941408,215.6132522583008,17.43416633605957,0.3562532584139504,-6.748633879781421,,-4.130990853359971,51.65562913907285,90.39735099337749,47.019867549668874,61.63934426229508,0.4918032786885246,,13.074204946996467,63.0242825607064,3,25.06845082932669,True,47.841949868154515,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28134,2023,2041-2060,SSP2-4.5,ANOMALY,21.24000005722046,197.4879264831543,16.57333278656006,1.4642038729822966,1.6939890710382524,,4.912746744187984,43.04635761589404,78.80794701986756,41.390728476821195,86.88524590163935,81.63934426229508,,90.10600706713781,54.4150110375276,3,86.21019907702407,True,67.13308625332618,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28148,2023,2041-2060,SSP2-4.5,ANOMALY,21.73166651725769,209.55998916625975,16.203332901000977,2.566811168136601,0.2732240437158459,,-3.1674679951340963,48.675496688741724,85.76158940397352,40.06622516556291,96.39344262295081,55.40983606557377,,18.72791519434629,58.167770419426056,3,56.843731294290286,True,57.63815476937175,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28161,2023,2041-2060,SSP2-4.5,ANOMALY,22.905833315849303,207.91650390625,19.436667060852052,3.1786768706462905,-0.4644808743169412,,2.1975647576196735,60.59602649006622,85.43046357615894,55.29801324503311,98.68852459016394,36.721311475409834,,71.02473498233215,67.10816777041943,3,68.8115236826353,True,67.78951013530578,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28181,2023,2041-2060,SSP2-4.5,ANOMALY,21.992777760823568,204.66060206095375,20.294444783528647,2.1452494271108775,0.5327868852459036,,4.319791503955035,51.98675496688742,82.78145695364239,63.57615894039735,92.78688524590164,60.65573770491803,,87.27915194346289,66.11479028697572,3,80.24059163142752,True,71.76511082475645,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
28903,2023,2041-2060,SSP2-4.5,ANOMALY,21.758333563804623,194.0123878479004,17.99500036239624,1.450790708451601,-4.01639344262295,,0.8130129071429977,49.00662251655629,76.15894039735099,49.33774834437086,86.55737704918033,5.245901639344262,,57.24381625441696,58.16777041942604,3,49.682364980980516,True,54.773608244047836,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29007,2023,2041-2060,SSP2-4.5,ANOMALY,28.22066662788391,132.38356979370116,20.055666580200192,0.0947691594740197,0.0819672131147536,,-0.22630288285157,91.3907284768212,40.728476821192054,61.258278145695364,54.42622950819672,46.22950819672131,,46.28975265017668,64.45916114790286,3,48.981830118364904,True,58.26822873608768,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29015,2023,2041-2060,SSP2-4.5,ANOMALY,26.178240720431013,166.77446853849622,19.815833038753933,-1.1744436889862586,-1.4480874316939905,,-0.968416716548558,82.45033112582782,65.23178807947019,59.602649006622514,23.934426229508198,21.639344262295083,,36.042402826855124,69.09492273730685,3,27.20539110621947,True,52.3391100848719,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29025,2023,2041-2060,SSP2-4.5,ANOMALY,25.367916560173036,95.82851791381836,20.492499542236327,0.1588657823089878,0.0273224043715861,,-1.6860371741387083,77.48344370860927,26.158940397350992,66.2251655629139,57.049180327868854,44.59016393442623,,29.328621908127207,56.622516556291394,3,43.6559887234741,True,51.43590542316448,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29051,2023,2041-2060,SSP2-4.5,ANOMALY,26.543666782379148,123.9597708129883,19.11300003051758,0.2533742686670919,0.3005464480874297,,-0.824499411071848,84.76821192052981,38.079470198675494,53.973509933774835,59.01639344262295,56.39344262295082,,38.869257950530034,58.94039735099338,3,51.4263646720346,True,55.93478427940987,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29054,2023,2041-2060,SSP2-4.5,ANOMALY,22.915000009536744,87.45878467559814,21.37111028035482,0.1048469627689034,0.1092896174863445,,-3.974068198288186,61.258278145695364,23.509933774834437,76.49006622516556,55.08196721311475,48.52459016393443,,13.780918727915195,53.752759381898464,3,39.12915870165479,True,47.903319109801,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29067,2023,2041-2060,SSP2-4.5,ANOMALY,27.359814874331157,138.66928787231444,19.190833176506892,1.3755667211958564,0.2732240437158495,,2.1319842695038176,88.41059602649007,45.36423841059602,54.3046357615894,84.91803278688525,56.0655737704918,,70.6713780918728,62.69315673289183,3,70.55166154974995,True,65.83655865963507,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29069,2023,2041-2060,SSP2-4.5,ANOMALY,25.00166675567627,118.95821830749512,19.06166679382324,-0.2185792349726772,-0.027322404371579,,1.3563664140078742,75.82781456953643,35.09933774834437,52.980132450331126,43.60655737704918,42.622950819672134,,61.83745583038869,54.63576158940398,3,49.355654675703335,True,52.523718823923716,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
29070,2023,2041-2060,SSP2-4.5,ANOMALY,26.477291560173036,117.51205582618714,19.654583358764647,0.0285141262643882,0.3278688524590194,,2.3415398476212888,84.10596026490066,33.77483443708609,56.62251655629139,53.114754098360656,57.540983606557376,,72.43816254416961,58.16777041942604,3,61.031300083029215,True,59.31318228486731,anomalias_climaticas_60_tendencias_activas_40_percentiles_v2,2.0
