cod_ine,nombre,score_asequibilidad,asequibilidad_disponible,score_turismo,turismo_disponible,score_especulacion,especulacion_disponible,score_gentrificacion,gentrificacion_disponible,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico,score_riesgo_futuro,riesgo_futuro_elegible_origen,version_riesgo_futuro,riesgo_futuro_disponible,capas_actuales_disponibles,capas_ipr5_disponibles,elegible_ipr4_observado,elegible_ipr5_prospectivo,motivo_no_elegible_ipr5,anio_corte,fecha_turismo,tipo_producto
08194,Sant Adrià de Besòs,11.475409836065571,True,83.11475409836066,True,70.49180327868852,True,48.52459016393442,True,2023,2041-2060,SSP2-4.5,ANOMALY,31.71922647410743,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08196,Sant Andreu de la Barca,24.918032786885245,True,11.803278688524587,True,22.07650273224044,True,31.69398907103825,True,2023,2041-2060,SSP2-4.5,ANOMALY,35.47215286071002,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08200,Sant Boi de Llobregat,15.737704918032788,True,16.885245901639344,True,46.88524590163934,True,49.28961748633879,True,2023,2041-2060,SSP2-4.5,ANOMALY,40.14221972269291,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08205,Sant Cugat del Vallès,20.65573770491803,True,46.22950819672131,True,32.34972677595628,True,44.8087431693989,True,2023,2041-2060,SSP2-4.5,ANOMALY,42.4833653212558,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08211,Sant Feliu de Llobregat,13.442622950819672,True,18.36065573770492,True,66.33879781420765,True,42.622950819672134,True,2023,2041-2060,SSP2-4.5,ANOMALY,43.67607711320733,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08217,Sant Joan Despí,13.114754098360656,True,31.80327868852459,True,66.99453551912569,True,52.78688524590164,True,2023,2041-2060,SSP2-4.5,ANOMALY,44.94382363280243,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08231,Sant Pere de Ribes,28.852459016393443,True,70.98360655737704,True,44.59016393442624,True,77.26775956284153,True,2023,2041-2060,SSP2-4.5,ANOMALY,36.88343723813605,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08245,Santa Coloma Gramanet,17.37704918032787,True,40.81967213114754,True,50.49180327868853,True,58.196721311475414,True,2023,2041-2060,SSP2-4.5,ANOMALY,31.290769895522317,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08252,Barberà del Vallès,30.49180327868853,True,31.311475409836067,True,63.060109289617486,True,33.98907103825137,True,2023,2041-2060,SSP2-4.5,ANOMALY,41.55081284360802,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08260,Santa Perpètua de Mogoda,37.704918032786885,True,7.868852459016393,True,41.63934426229508,True,38.36065573770493,True,2023,2041-2060,SSP2-4.5,ANOMALY,36.4948431223537,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08263,Sant Vicenç dels Horts,36.721311475409834,True,17.049180327868854,True,13.989071038251367,True,23.93442622950819,True,2023,2041-2060,SSP2-4.5,ANOMALY,36.050588359107174,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08266,Cerdanyola del Vallès,25.24590163934426,True,29.01639344262295,True,55.51912568306011,True,47.65027322404372,True,2023,2041-2060,SSP2-4.5,ANOMALY,35.952415935317774,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08270,Sitges,2.9508196721311477,True,90.0,True,48.08743169398907,True,41.20218579234973,True,2023,2041-2060,SSP2-4.5,ANOMALY,28.482900879383347,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08279,Terrassa,38.36065573770492,True,36.55737704918032,True,65.24590163934427,True,46.12021857923497,True,2023,2041-2060,SSP2-4.5,ANOMALY,40.22392696600406,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
08298,Vic,56.0655737704918,True,42.131147540983605,True,75.19125683060109,True,32.78688524590164,True,2023,2041-2060,SSP2-4.5,ANOMALY,49.65306422302723,True,2.0,True,4,5,True,True,,2023,2023-08-01,corte_ipr5_prospectivo
