cod_ine,anio,precio_m2,num_tasaciones,trimestres_disponibles,renta_media,superficie_ref_m2,precio_vivienda,ratio_asequibilidad,puntuacion_asequibilidad,metodo_normalizacion,fuente_precio,fuente_renta
07040,2015,1513.2613890963407,4017,4,32234.0,90.0,136193.52501867065,4.225151238402638,25.806451612903224,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
07054,2015,2343.212530120482,415,4,29734.0,90.0,210889.12771084337,7.092524642188853,0.7168458781362007,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08015,2015,1471.9399763220204,2534,4,29062.0,90.0,132474.59786898183,4.5583441562515254,18.996415770609318,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08019,2015,2499.8554614003588,13925,4,36477.0,90.0,224986.99152603227,6.1679137957077685,3.225806451612903,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08056,2015,2112.5583950617283,810,4,39307.0,90.0,190130.25555555554,4.837058426121443,14.695340501792115,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08073,2015,1554.0667493796527,806,4,29401.0,90.0,139866.00744416873,4.7571853829518975,15.412186379928315,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08077,2015,1842.2157622739019,387,4,36753.0,90.0,165799.41860465117,4.511180545932337,21.14695340501792,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08089,2015,1781.2627118644068,531,4,34582.0,90.0,160313.64406779662,4.635753978017368,17.56272401433692,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08096,2015,1337.904496124031,645,4,32487.0,90.0,120411.4046511628,3.706448876509459,43.369175627240146,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08101,2015,1431.3082661996498,2855,4,27680.0,90.0,128817.74395796849,4.653820229695393,17.204301075268816,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08102,2015,1042.6578796561605,349,4,30715.0,90.0,93839.20916905445,3.055159015759546,73.83512544802868,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08113,2015,980.9935947712418,765,4,29551.0,90.0,88289.42352941175,2.9876966440868924,77.06093189964157,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08114,2015,1219.357281553398,309,4,32151.0,90.0,109742.15533980582,3.4133356766447642,60.93189964157706,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08121,2015,1321.4647302904564,1446,4,28315.0,90.0,118931.82572614108,4.200311697903623,26.881720430107528,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08124,2015,1362.3884615384616,494,4,30779.0,90.0,122614.96153846155,3.9837214184496426,33.691756272401435,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08125,2015,1302.5382871536524,397,4,29584.0,90.0,117228.44584382871,3.962562393314924,34.40860215053763,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08169,2015,1800.526365348399,531,4,31511.0,90.0,162047.3728813559,5.142565227423944,12.186379928315413,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08172,2015,1563.0539855072464,276,4,32356.0,90.0,140674.85869565216,4.347720938795035,24.731182795698924,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08180,2015,1302.2824242424244,495,4,28666.0,90.0,117205.4181818182,4.088656184393295,29.74910394265233,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08184,2015,1232.5209505334628,1031,4,30580.0,90.0,110926.88554801166,3.6274324901246455,48.38709677419355,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08187,2015,1217.3808414464534,2876,4,30507.0,90.0,109564.2757301808,3.5914470688753664,50.17921146953405,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08194,2015,1448.0019157088122,261,4,27603.0,90.0,130320.1724137931,4.721232199898312,16.129032258064516,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08200,2015,1508.2888343558284,815,4,30827.0,90.0,135745.99509202456,4.403477311837823,23.29749103942652,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08205,2015,2444.080802603037,922,4,55467.0,90.0,219967.27223427332,3.9657322774672026,34.05017921146953,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08211,2015,1732.3415274463007,419,4,35002.0,90.0,155910.73747016705,4.454337965549598,22.939068100358423,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08217,2015,1893.63595505618,267,4,37705.0,90.0,170427.23595505618,4.520016866597432,20.43010752688172,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08231,2015,1528.0474747474748,396,4,30772.0,90.0,137524.27272727274,4.469136641338643,22.580645161290324,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08245,2015,1267.954841149773,1322,4,26122.0,90.0,114115.93570347958,4.368575748544506,24.014336917562723,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08252,2015,1366.9248554913295,346,4,32663.0,90.0,123023.23699421965,3.766440222705191,40.14336917562724,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08263,2015,1400.0212464589235,353,4,31153.0,90.0,126001.91218130312,4.044615676862682,31.54121863799283,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08266,2015,1613.5373161764708,544,4,35889.0,90.0,145218.35845588238,4.046319442054178,30.82437275985663,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08279,2015,1121.5559701492537,3082,4,30321.0,90.0,100940.03731343283,3.3290471064091824,63.44086021505376,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08298,2015,1131.5962343096232,478,4,32022.0,90.0,101843.66108786609,3.1804278648387387,70.60931899641577,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08301,2015,1617.4711864406781,708,4,32125.0,90.0,145572.40677966102,4.531436786915518,19.71326164874552,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08305,2015,1078.0272946859905,414,4,29862.0,90.0,97022.45652173914,3.2490274101446364,68.45878136200717,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
08307,2015,1404.5116465863457,747,4,31003.0,90.0,126406.04819277111,4.07721988816473,30.107526881720432,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
09018,2015,1020.0197183098592,213,4,27759.0,90.0,91801.77464788733,3.30709948657687,64.87455197132617,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
09059,2015,1248.6849472674976,1043,4,31111.0,90.0,112381.64525407479,3.612280069881225,49.10394265232975,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
09219,2015,1012.9226086956522,230,4,28036.0,90.0,91163.0347826087,3.2516419882511305,68.10035842293907,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
10037,2015,1081.7094982078852,558,4,28540.0,90.0,97353.85483870967,3.4111371702421045,61.29032258064516,percentil_invertido_anual,"Ministerio de Vivienda, valor tasado","INE, Atlas de distribución de renta de los hogares"
