cod_ine,anio,trimestre,compraventas,fuente
02009,2018,1,29,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2018,2,44,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2018,3,41,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2018,4,45,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2019,1,47,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2019,2,55,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2019,3,30,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2019,4,55,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2020,1,43,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2020,2,39,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2020,3,41,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2020,4,61,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2021,1,51,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2021,2,54,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2021,3,51,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2021,4,60,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2022,1,54,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2022,2,61,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2022,3,52,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2022,4,80,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2023,1,63,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2023,2,65,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2023,3,42,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2023,4,50,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2024,1,64,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2024,2,79,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2024,3,65,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2024,4,81,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2025,1,99,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2025,2,91,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2025,3,102,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2025,4,133,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02009,2026,1,87,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2004,1,91,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2004,2,126,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2004,3,191,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2004,4,108,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
02037,2005,1,85,"MIVAU, transacciones inmobiliarias municipales, tabla 2"
