cod_ine,anio,calculation_version,component,source_year,statistical_period,coverage_score,recency_score,consistency_score,quality_score,issues
28013,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28013,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28013,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28014,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28014,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28014,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28014,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28022,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28022,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28022,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28022,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28045,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28045,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28045,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28045,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28047,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28047,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28047,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28047,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
28049,2023,dqs-ipr4-1.0,asequibilidad,2023,2023,100.0,100.0,,100.0,[]
28049,2023,dqs-ipr4-1.0,turismo,2023,2023-08-01,100.0,100.0,,100.0,[]
28049,2023,dqs-ipr4-1.0,especulacion,2021,2023; parque residencial 2021,100.0,90.0,,96.25,"[""Fuente de referencia 2021; desfase de 2 a\u00f1os""]"
28049,2023,dqs-ipr4-1.0,gentrificacion,2023,2020–2023 (ventana de cambio),100.0,100.0,,100.0,[]
