cod_ine,nombre,anio,asequibilidad_disponible,asequibilidad_observaciones,turismo_disponible,turismo_observaciones,especulacion_disponible,especulacion_observaciones,gentrificacion_disponible,gentrificacion_observaciones,capas_disponibles,elegible_indice_completo,estado_integracion
29069,Marbella,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29070,Mijas,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29082,Rincón de la Victoria,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29084,Ronda,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29094,Vélez Málaga,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
29901,Torremolinos,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30003,Águilas,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30005,Alcantarilla,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30015,Caravaca de la Cruz,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30016,Cartagena,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30019,Cieza,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30022,Jumilla,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30024,Lorca,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30026,Mazarrón,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30027,Molina de Segura,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30030,Murcia,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30035,San Javier,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30037,Torre-Pacheco,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30039,Totana,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
30043,Yecla,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
31201,Pamplona/Iruña,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
31232,Tudela,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
32054,Ourense,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
33004,Avilés,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
33024,Gijón,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
33031,Langreo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
33037,Mieres,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
33044,Oviedo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
33066,Siero,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
34120,Palencia,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
35002,Agüimes,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
35004,Arrecife,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
35006,Arucas,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
35011,Ingenio,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
35014,"Oliva, La",2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
35016,Palmas de Gran Canaria (Las),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
35017,Puerto del Rosario,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
35019,San Bartolomé de Tirajana,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
35022,Santa Lucía de Tirajana,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
35026,Telde,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
36008,Cangas,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
36026,Marín,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
36038,Pontevedra,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
36045,Redondela,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
36057,Vigo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
36060,Vilagarcía de Arousa,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
37274,Salamanca,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
38001,Adeje,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
38006,Arona,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
38011,Candelaria,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
38017,Granadilla de Abona,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
38023,San Cristóbal Laguna,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
38026,Orotava (La),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
38028,Puerto de la Cruz,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
38031,Realejos (Los),2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
38038,Santa Cruz deTenerife,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
39016,Camargo,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
39020,Castro-Urdiales,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
39075,Santander,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
39087,Torrelavega,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
40194,Segovia,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41004,Alcalá de Guadaíra,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41021,Camas,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41024,Carmona,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41034,Coria del Río,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41038,Dos Hermanas,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41039,Écija,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
41053,Lebrija,2015,False,0,False,0,False,0,False,0,0,False,sin_cobertura
41059,Mairena del Aljarafe,2015,True,1,False,0,False,0,False,0,1,False,historico_parcial_observado
