cod_ine,proyeccion_duracion_max_ola_calor_dias,proyeccion_grados_dia_refrigeracion,proyeccion_racha_seca_max_dias,tendencia_asequibilidad,n_anios_asequibilidad,inicio_asequibilidad,fin_asequibilidad,tendencia_turismo,n_anios_turismo,inicio_turismo,fin_turismo,tendencia_especulacion,n_anios_especulacion,inicio_especulacion,fin_especulacion,tendencia_gentrificacion,n_anios_gentrificacion,inicio_gentrificacion,fin_gentrificacion,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico
08187,20.524999856948853,157.91061401367188,8.494999980926513,2.030189309778791,9,2015,2023,-4.535519125683063,4,2020,2023,,2,2022,2023,-2.7679623085983494,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08194,19.595000505447388,57.79168834686279,8.888332557678222,0.350637522768673,9,2015,2023,0.19125683060109347,4,2020,2023,,2,2022,2023,-2.027459506042267,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08196,22.362083387374877,181.36302967071532,9.245416736602783,-0.9016393442622952,4,2020,2023,-6.256830601092901,4,2020,2023,,2,2022,2023,,1,2023,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08200,23.972777764002483,140.83949699401856,9.331481403774685,0.4167455807108181,9,2015,2023,-2.4863387978142084,4,2020,2023,,2,2022,2023,-3.8338327751336765,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08205,21.488333320617677,170.72847900390624,9.701666641235352,1.1986978258342054,9,2015,2023,-4.672131147540988,4,2020,2023,,2,2022,2023,-1.7876684292743192,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08211,22.544166803359985,158.5231780052185,9.42541708946228,1.2037558684188303,9,2015,2023,-2.1721311475409837,4,2020,2023,,2,2022,2023,-3.040523336662943,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08217,24.272500109672546,149.84559936523436,8.890833425521851,0.8894261035984987,9,2015,2023,-11.229508196721312,4,2020,2023,,2,2022,2023,0.13921695360087655,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08231,19.89250020980835,112.33964347839355,9.063333511352539,-0.7697174586386646,9,2015,2023,-1.3387978142076506,4,2020,2023,,2,2022,2023,5.704447969915977,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08245,20.23333364725113,100.80463409423828,9.856666564941406,0.6460923887969312,9,2015,2023,-3.6885245901639347,4,2020,2023,,2,2022,2023,-2.147991460524511,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08252,21.19666633605957,162.9228202819824,8.905000114440918,0.9525729423453241,9,2015,2023,0.027322404371584064,4,2020,2023,,2,2022,2023,-4.767299292947099,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08260,21.723333501815794,161.22401962280273,7.90333366394043,0.10928961748633625,4,2020,2023,-3.0874316939890702,4,2020,2023,,2,2022,2023,,1,2023,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08263,22.25333333015442,162.09205198287964,9.052916860580444,-0.018263431502262,9,2015,2023,-1.8306010928961753,4,2020,2023,,2,2022,2023,-9.215504240358817,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08266,20.87500023841858,154.05866661071778,8.946666717529297,0.6386491339859859,9,2015,2023,-4.043715846994536,4,2020,2023,,2,2022,2023,-1.8916896801613874,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08270,20.476666593551634,97.1157834370931,8.870000076293945,-0.21857923497267961,4,2020,2023,-1.5573770491803152,4,2020,2023,,2,2022,2023,,1,2023,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08279,19.541111103693645,120.96927820841472,7.742221895853679,2.790116148756753,9,2015,2023,0.9016393442622928,4,2020,2023,,2,2022,2023,-3.6791820906046184,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08298,19.674166774749757,118.80306034088134,7.537499713897705,2.4529340207379944,9,2015,2023,1.1475409836065502,4,2020,2023,,2,2022,2023,4.5130049689493426,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08301,23.9333336353302,144.46988983154296,9.868333625793458,0.3139169863969319,9,2015,2023,-4.262295081967217,4,2020,2023,,2,2022,2023,-3.6513545347467655,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08305,20.527916657924653,161.61953830718994,8.883333539962768,2.370401808247153,9,2015,2023,2.527322404371584,4,2020,2023,,2,2022,2023,-3.9335756593251183,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
08307,22.873332977294922,134.417813873291,8.986667060852051,-0.30444284157988444,9,2015,2023,-1.3114754098360728,4,2020,2023,,2,2022,2023,-0.2571974743671485,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
09018,15.633333301544189,107.74117075602214,13.343333435058593,-0.6776141070352253,9,2015,2023,1.3934426229508183,4,2020,2023,,2,2022,2023,-0.4444110300812814,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
09059,10.211666555404662,68.5036226272583,11.133000144958498,0.047608620303140725,9,2015,2023,1.7486338797814214,4,2020,2023,,2,2022,2023,-0.42540661103175026,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
