cod_ine,anio,poblacion,fuente
03014,2005,319380,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2006,322431,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2007,322673,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2008,331750,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2009,334757,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2010,334418,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2011,334329,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2012,334678,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2013,335052,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2014,332067,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2015,328648,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2016,330525,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2017,329988,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2018,331577,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2019,334887,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2020,337482,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2021,337304,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2022,338577,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2023,349282,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2024,358720,"INE, Padrón municipal, tablas provinciales 2854–2909"
03014,2025,366221,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,1996,50040,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,1998,50946,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,1999,52845,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2000,54321,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2001,57227,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2002,61352,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2003,64267,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2004,64956,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2005,67492,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2006,67627,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2007,69058,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2008,70280,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2009,71034,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2010,71198,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2011,72062,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2012,72991,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2013,73768,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2014,69010,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2015,69045,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2016,66642,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2017,66831,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2018,67558,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2019,68721,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2020,70450,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2021,69118,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2022,69738,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2023,72342,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2024,74663,"INE, Padrón municipal, tablas provinciales 2854–2909"
03031,2025,77327,"INE, Padrón municipal, tablas provinciales 2854–2909"
03047,1996,14216,"INE, Padrón municipal, tablas provinciales 2854–2909"
