componente,variable,anio,archivo,fuente,comparabilidad,cambios_metodologicos,primer_anio,ultimo_anio,frecuencia,municipios_validos,observaciones,cobertura_pct,anios_ausentes
turismo,vut_por_1000_hab,2021,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,612,100.0,[]
turismo,vut_por_1000_hab,2022,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,612,100.0,[]
turismo,vut_por_1000_hab,2023,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,612,100.0,[]
turismo,vut_por_1000_hab,2024,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,918,100.0,[]
turismo,vut_por_1000_hab,2025,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,612,100.0,[]
turismo,vut_por_1000_hab,2026,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,306,306,100.0,[]
turismo,vut_por_km2,1996,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,1997,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,1998,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,1999,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2000,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2001,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2002,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2003,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2004,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2005,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2006,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2007,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2008,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
turismo,vut_por_km2,2009,data/processed/indicadores_turisticos.csv,INE VUT 39363; padrón; geometría municipal,condicionada; ver AUDITORIA_IPR_HISTORICO.md,Snapshots no equivalen a media anual; fijar agosto y población del mismo año.,2020,2026,snapshot,0,0,0.0,[]
