cod_ine,anio,ipr_score,ipr_percentile,rank,delta_ipr,delta_since_start,rank_change,calculation_version,dataset_sha256
44216,2023,27.280477408354646,14.130434782608695,238,-15.782182438192667,-15.260017050298384,61.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
45165,2020,34.793265132139815,20.28985507246377,221,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
45165,2021,38.235294117647065,29.71014492753623,195,3.4420289855072497,3.4420289855072497,-26.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
45165,2022,17.753623188405797,7.971014492753623,255,-20.481670929241268,-17.03964194373402,60.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
45165,2023,35.97612958226769,23.55072463768116,212,18.22250639386189,1.1828644501278731,-43.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
45168,2020,42.60443307757886,32.2463768115942,188,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
45168,2021,38.075447570332486,28.985507246376812,197,-4.528985507246375,-4.528985507246375,9.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
45168,2022,38.42710997442455,26.44927536231884,204,0.3516624040920675,-4.177323103154308,7.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
45168,2023,57.48081841432226,62.68115942028985,104,19.053708439897704,14.876385336743397,-100.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46005,2020,36.58354646206309,22.10144927536232,216,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46005,2021,37.73444160272805,28.26086956521739,199,1.1508951406649572,1.1508951406649572,-17.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46005,2022,22.58098891730605,10.144927536231885,249,-15.153452685421996,-14.002557544757039,50.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46005,2023,39.162404092071604,29.166666666666668,196,16.581415174765553,2.578857630008514,-53.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46017,2020,17.977408354646208,5.072463768115942,263,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46017,2021,27.877237851662404,13.043478260869565,241,9.899829497016196,9.899829497016196,-22.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46017,2022,14.279624893435635,5.434782608695652,262,-13.597612958226769,-3.697783461210573,21.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46017,2023,25.106564364876384,11.956521739130435,244,10.826939471440749,7.129156010230176,-18.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46021,2020,37.872975277067354,23.91304347826087,211,,0.0,,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46021,2021,32.18243819266837,19.202898550724637,224,-5.690537084398983,-5.690537084398983,13.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
46021,2022,36.1999147485081,23.55072463768116,212,4.017476555839728,-1.6730605285592546,-12.0,historico-relativo-1.0,0a9a6aefb1d5cafa7b9570a2888f6efb4af6f21eed9107a2ba0255bf46fc217a
