cod_ine,anio,indice_gini,ratio_p80_p20
08163,2020,31.4,2.6
08163,2021,29.8,2.6
08163,2022,29.2,2.5
08163,2023,28.9,2.5
08169,2015,28.6,2.4
08169,2016,28.1,2.4
08169,2017,27.4,2.4
08169,2018,27.1,2.3
08169,2019,27.1,2.3
08169,2020,27.5,2.3
08169,2021,27.3,2.3
08169,2022,26.7,2.3
08169,2023,26.3,2.3
08172,2015,33.9,3.0
08172,2016,33.6,3.1
08172,2017,32.5,2.9
08172,2018,31.6,2.8
08172,2019,30.8,2.7
08172,2020,30.8,2.7
08172,2021,30.9,2.6
08172,2022,30.5,2.6
08172,2023,30.1,2.6
08180,2015,30.2,2.6
08180,2016,29.8,2.5
08180,2017,28.6,2.6
08180,2018,28.1,2.5
08180,2019,27.7,2.4
08180,2020,28.1,2.4
08180,2021,27.5,2.5
08180,2022,26.9,2.4
08180,2023,26.8,2.4
08184,2015,31.0,2.8
08184,2016,31.0,2.8
08184,2017,29.4,2.6
08184,2018,29.0,2.6
08184,2019,28.4,2.5
08184,2020,28.4,2.5
08184,2021,28.7,2.5
08184,2022,27.8,2.4
08184,2023,27.6,2.5
08187,2015,32.8,2.8
08187,2016,32.3,2.6
08187,2017,31.4,2.7
08187,2018,30.8,2.7
08187,2019,30.5,2.6
08187,2020,30.6,2.7
08187,2021,30.0,2.5
08187,2022,29.8,2.6
08187,2023,29.6,2.5
08194,2015,33.8,3.3
08194,2016,33.5,3.0
08194,2017,32.4,2.8
08194,2018,31.8,2.9
08194,2019,31.3,2.8
08194,2020,31.5,2.8
08194,2021,30.8,2.8
08194,2022,30.5,2.8
08194,2023,30.3,2.7
08196,2015,28.8,2.4
08196,2016,28.1,2.4
08196,2017,26.7,2.4
08196,2018,26.4,2.3
08196,2019,25.8,2.3
08196,2020,26.2,2.3
08196,2021,26.2,2.2
08196,2022,25.7,2.1
08196,2023,25.3,2.2
08200,2015,28.9,2.5
08200,2016,28.3,2.4
08200,2017,27.7,2.4
08200,2018,27.2,2.4
08200,2019,26.9,2.3
08200,2020,27.0,2.3
08200,2021,26.9,2.3
08200,2022,26.7,2.2
08200,2023,26.4,2.2
08205,2015,36.7,3.2
08205,2016,36.8,3.3
08205,2017,36.2,3.2
08205,2018,35.7,3.1
08205,2019,35.7,3.1
08205,2020,35.1,2.9
08205,2021,34.6,2.9
08205,2022,34.8,2.9
08205,2023,34.5,2.9
08211,2015,30.0,2.5
08211,2016,29.8,2.4
08211,2017,28.9,2.5
08211,2018,28.6,2.4
08211,2019,28.3,2.4
08211,2020,28.5,2.4
08211,2021,28.4,2.3
08211,2022,28.4,2.3
08211,2023,28.3,2.4
08217,2015,31.0,2.5
08217,2016,30.8,2.5
08217,2017,30.2,2.4
08217,2018,29.6,2.4
08217,2019,29.0,2.3
08217,2020,29.3,2.3
08217,2021,29.2,2.4
08217,2022,28.6,2.3
08217,2023,28.3,2.3
08231,2015,36.3,3.0
08231,2016,35.9,3.0
08231,2017,34.5,2.9
08231,2018,33.7,2.8
08231,2019,32.7,2.7
08231,2020,32.7,2.7
08231,2021,32.5,2.6
08231,2022,32.7,2.8
08231,2023,32.3,2.6
08245,2015,31.8,2.8
08245,2016,31.3,2.8
08245,2017,30.6,2.7
08245,2018,29.9,2.7
08245,2019,29.5,2.6
08245,2020,30.0,2.6
08245,2021,29.3,2.5
08245,2022,29.0,2.6
08245,2023,28.6,2.5
08252,2015,27.4,2.3
08252,2016,27.3,2.4
08252,2017,26.3,2.3
08252,2018,26.0,2.2
08252,2019,25.7,2.1
08252,2020,25.9,2.2
08252,2021,25.2,2.1
08252,2022,25.2,2.1
08252,2023,25.0,2.1
08260,2015,29.6,2.6
08260,2016,29.3,2.4
08260,2017,28.7,2.5
08260,2018,27.9,2.5
08260,2019,27.6,2.4
08260,2020,27.7,2.4
08260,2021,27.2,2.3
08260,2022,26.7,2.3
08260,2023,25.9,2.2
08263,2015,29.2,2.5
08263,2016,28.5,2.6
08263,2017,27.8,2.4
08263,2018,27.1,2.4
08263,2019,26.4,2.3
08263,2020,26.5,2.3
08263,2021,26.4,2.3
08263,2022,25.8,2.2
08263,2023,25.5,2.2
08266,2015,31.6,2.5
08266,2016,31.9,2.7
08266,2017,30.7,2.5
08266,2018,30.1,2.5
08266,2019,29.9,2.4
08266,2020,29.8,2.5
08266,2021,29.8,2.4
08266,2022,29.5,2.4
08266,2023,29.4,2.4
08270,2015,40.8,3.6
08270,2016,40.9,3.7
08270,2017,40.1,3.6
08270,2018,40.1,3.4
08270,2019,39.5,3.3
08270,2020,39.8,3.6
08270,2021,38.8,3.3
08270,2022,39.6,3.3
08270,2023,38.9,3.3
08279,2015,32.5,2.8
08279,2016,32.1,2.8
08279,2017,31.0,2.7
08279,2018,30.3,2.6
08279,2019,29.8,2.6
08279,2020,29.8,2.6
08279,2021,29.4,2.6
08279,2022,29.1,2.6
08279,2023,28.9,2.5
08298,2015,32.8,2.8
08298,2016,32.3,2.7
08298,2017,31.6,2.7
08298,2018,31.4,2.6
08298,2019,31.6,2.7
08298,2020,31.2,2.7
08298,2021,30.6,2.6
08298,2022,30.3,2.5
08298,2023,30.3,2.5
08301,2015,28.8,2.4
08301,2016,28.7,2.4
08301,2017,27.7,2.4
08301,2018,27.2,2.3
08301,2019,26.9,2.3
08301,2020,27.0,2.3
08301,2021,26.9,2.2
08301,2022,26.5,2.2
08301,2023,26.0,2.2
08305,2015,33.3,2.8
08305,2016,32.9,2.8
08305,2017,31.5,2.7
08305,2018,30.9,2.7
08305,2019,30.1,2.7
08305,2020,30.3,2.7
