cod_ine,anio,edad_media,pct_hogares_unipersonales,pct_mayor_65,pct_menor_18,pct_poblacion_espanola,tamano_medio_hogar
07027,2020,39.4,23.3,14.6,20.7,82.5,2.8
07027,2021,39.7,23.5,14.9,20.5,82.4,2.8
07027,2022,39.9,23.7,15.1,20.4,82.2,2.8
07027,2023,40.0,23.8,15.2,19.7,80.9,2.8
07031,2015,39.9,25.9,14.1,19.4,84.8,2.6
07031,2016,40.1,23.5,14.4,19.5,84.7,2.6
07031,2017,40.2,25.1,14.6,19.4,84.0,2.7
07031,2018,40.5,25.3,14.8,19.1,83.2,2.7
07031,2019,40.8,25.3,15.1,18.6,82.1,2.7
07031,2020,41.2,25.4,15.5,18.4,82.3,2.7
07031,2021,41.5,25.1,15.8,18.2,82.2,2.7
07031,2022,41.8,25.3,16.3,18.0,81.7,2.7
07031,2023,42.1,25.1,16.6,17.5,81.2,2.7
07032,2015,40.8,28.0,16.1,18.8,88.6,2.6
07032,2016,40.9,27.3,16.3,18.9,89.1,2.6
07032,2017,41.2,27.9,16.5,18.5,88.8,2.6
07032,2018,41.4,27.9,16.6,18.1,88.0,2.6
07032,2019,41.6,27.7,16.8,17.9,87.1,2.7
07032,2020,42.1,28.1,17.4,17.5,87.2,2.6
07032,2021,42.4,28.0,17.7,17.2,87.4,2.6
07032,2022,42.7,28.6,18.0,16.5,86.2,2.6
07032,2023,42.8,28.9,18.3,16.1,85.3,2.6
07033,2015,40.0,28.3,16.2,19.9,83.0,2.7
07033,2016,39.9,27.0,15.7,20.1,82.6,2.8
07033,2017,39.8,27.3,15.5,20.2,81.2,2.8
07033,2018,39.9,27.7,15.3,20.0,79.9,2.8
07033,2019,39.9,27.7,15.1,20.1,79.3,2.8
07033,2020,40.1,27.8,15.3,20.0,79.1,2.8
07033,2021,40.2,28.4,15.4,20.0,78.7,2.8
07033,2022,40.3,28.2,15.5,19.9,78.0,2.8
07033,2023,40.5,28.0,15.7,19.4,78.2,2.8
07036,2015,38.9,15.6,12.8,21.4,95.4,3.0
07036,2016,39.1,15.1,13.2,21.5,95.4,3.0
07036,2017,39.5,15.3,13.7,21.3,95.2,3.0
07036,2018,39.8,15.5,14.1,20.9,94.8,3.0
07036,2019,40.1,15.8,14.6,20.5,94.4,3.0
07036,2020,40.5,15.9,15.1,20.1,94.1,3.0
07036,2021,40.8,16.2,15.5,19.8,93.8,3.0
07036,2022,41.1,16.1,15.9,19.5,93.6,3.0
07036,2023,41.4,16.1,16.3,19.1,93.0,3.0
07040,2015,40.5,26.1,15.4,17.7,84.9,2.7
07040,2016,40.6,24.4,15.7,17.7,85.2,2.8
07040,2017,40.8,26.1,15.9,17.6,84.9,2.8
07040,2018,40.9,26.1,16.0,17.5,84.2,2.8
07040,2019,41.1,26.1,16.1,17.1,83.1,2.8
07040,2020,41.5,26.4,16.5,16.9,83.2,2.8
07040,2021,41.8,27.0,16.9,16.8,83.4,2.7
07040,2022,42.0,26.4,17.1,16.2,81.8,2.8
07040,2023,42.2,26.4,17.3,15.8,80.6,2.8
07054,2015,39.9,33.1,12.8,16.7,75.1,2.6
07054,2016,39.4,28.3,12.2,17.7,75.2,2.7
07054,2017,39.6,31.5,12.4,17.4,76.0,2.7
07054,2018,40.0,31.4,12.7,17.3,73.2,2.7
07054,2019,40.2,30.4,12.9,16.9,72.0,2.7
07054,2020,40.5,30.0,13.1,16.6,71.1,2.7
07054,2021,40.9,30.1,13.6,16.5,70.8,2.7
07054,2022,41.2,29.8,13.9,16.1,69.9,2.7
07054,2023,41.3,29.7,14.0,16.0,69.9,2.7
08015,2015,41.6,23.4,17.9,18.7,87.9,2.6
08015,2016,41.8,23.3,18.3,18.8,87.9,2.6
08015,2017,41.9,23.7,18.5,18.8,87.3,2.6
08015,2018,42.0,22.8,18.8,18.6,86.2,2.7
08015,2019,42.2,22.8,18.9,18.5,84.9,2.7
08015,2020,42.4,23.2,19.2,18.3,84.6,2.7
08015,2021,42.6,23.9,19.4,18.2,84.2,2.7
08015,2022,42.8,24.9,19.6,18.0,83.9,2.6
08015,2023,43.0,24.1,19.9,17.8,83.1,2.6
08019,2015,44.0,31.3,21.6,15.0,83.5,2.4
08019,2016,44.1,31.6,21.7,15.2,82.4,2.4
08019,2017,44.1,32.9,21.6,15.1,81.9,2.4
08019,2018,44.1,32.6,21.5,15.0,80.4,2.4
08019,2019,44.1,32.2,21.5,14.9,78.4,2.4
08019,2020,44.3,32.6,21.5,14.6,78.7,2.4
08019,2021,44.4,33.1,21.7,14.5,78.0,2.4
08019,2022,44.3,33.2,21.5,14.4,78.5,2.4
08019,2023,44.3,32.5,21.5,14.1,77.6,2.4
08056,2015,39.3,23.2,13.6,20.2,81.4,2.7
08056,2016,39.6,22.5,13.8,20.2,81.0,2.7
08056,2017,40.0,23.0,14.2,20.0,80.2,2.7
08056,2018,40.2,22.7,14.4,19.8,79.3,2.7
08056,2019,40.5,22.7,14.7,19.6,78.7,2.8
08056,2020,40.9,23.2,15.1,19.2,78.7,2.7
08056,2021,41.3,23.3,15.4,18.7,78.5,2.7
08056,2022,41.5,23.5,15.6,18.4,77.4,2.7
08056,2023,41.8,23.2,15.9,17.9,76.6,2.7
08073,2015,42.3,23.1,19.9,18.1,86.8,2.6
08073,2016,42.4,23.1,19.9,18.1,86.6,2.6
08073,2017,42.6,23.4,20.0,18.0,86.1,2.6
08073,2018,42.7,23.4,19.8,17.8,85.1,2.6
08073,2019,42.8,24.0,19.8,17.6,84.0,2.6
08073,2020,43.1,24.9,19.9,17.3,84.3,2.6
08073,2021,43.3,26.3,20.0,17.1,84.5,2.6
08073,2022,43.4,26.3,19.9,16.9,83.6,2.6
08073,2023,43.5,26.7,20.0,16.6,82.5,2.6
08077,2015,43.7,22.0,21.7,16.7,89.8,2.6
08077,2016,43.9,22.0,22.2,16.9,89.7,2.6
08077,2017,44.0,21.9,22.4,16.9,89.0,2.6
08077,2018,44.1,22.0,22.7,16.8,88.2,2.7
08077,2019,44.3,22.0,23.0,16.8,87.4,2.7
08077,2020,44.6,22.7,23.2,16.7,87.3,2.7
08077,2021,44.9,23.3,23.9,16.5,87.2,2.6
08077,2022,44.8,23.6,23.7,16.6,86.1,2.6
08077,2023,44.9,23.3,23.9,16.6,85.1,2.7
08089,2015,40.9,21.8,16.6,19.7,90.7,2.7
08089,2016,41.0,21.5,16.7,19.9,90.4,2.7
08089,2017,41.3,21.9,17.0,19.8,90.0,2.7
08089,2018,41.5,22.1,17.3,19.6,89.5,2.7
08089,2019,41.8,22.5,17.6,19.2,88.9,2.7
08089,2020,42.2,23.0,17.9,18.8,88.7,2.7
08089,2021,42.5,23.2,18.2,18.7,88.7,2.7
08089,2022,42.7,22.9,18.5,18.5,87.7,2.7
08089,2023,42.9,23.3,18.8,18.0,87.2,2.7
08096,2015,41.2,23.8,16.9,18.5,86.6,2.7
08096,2016,41.4,23.6,17.2,18.5,87.2,2.7
08096,2017,41.6,23.9,17.6,18.4,87.0,2.7
08096,2018,41.8,24.3,17.9,18.3,86.6,2.7
08096,2019,42.0,24.1,17.9,18.0,85.6,2.7
08096,2020,42.3,24.5,18.3,17.7,85.5,2.7
08096,2021,42.7,25.4,19.0,17.5,85.9,2.6
08096,2022,42.8,25.6,19.3,17.3,85.9,2.6
08096,2023,43.0,25.7,19.7,16.9,85.2,2.6
08101,2015,42.7,24.8,20.5,16.7,81.8,2.6
08101,2016,42.7,24.5,20.4,16.8,81.3,2.6
08101,2017,42.7,25.3,20.3,16.8,80.1,2.6
08101,2018,42.7,25.0,20.2,16.7,78.7,2.7
08101,2019,42.7,25.0,20.0,16.7,77.2,2.7
08101,2020,43.0,25.4,20.1,16.6,77.8,2.7
08101,2021,43.1,26.0,20.1,16.5,78.1,2.6
