cod_ine,anio,pct_renta_alta_200,pct_renta_baja_60
08184,2018,11.8,15.6
08184,2019,11.0,15.4
08184,2020,11.2,15.6
08184,2021,11.7,15.0
08184,2022,9.1,16.1
08184,2023,8.0,17.0
08187,2015,14.8,17.9
08187,2016,16.0,16.4
08187,2017,14.5,16.3
08187,2018,13.9,15.8
08187,2019,13.4,16.1
08187,2020,13.7,16.5
08187,2021,13.3,15.6
08187,2022,11.6,16.5
08187,2023,10.4,17.3
08194,2015,8.9,25.2
08194,2016,9.8,24.1
08194,2017,8.6,23.8
08194,2018,8.1,23.9
08194,2019,7.6,23.7
08194,2020,7.8,24.2
08194,2021,7.5,23.7
08194,2022,6.7,24.1
08194,2023,5.9,24.9
08196,2015,13.6,14.3
08196,2016,14.5,12.5
08196,2017,12.7,11.8
08196,2018,12.3,11.6
08196,2019,11.2,11.7
08196,2020,11.6,11.8
08196,2021,11.3,11.9
08196,2022,9.4,12.2
08196,2023,8.4,12.3
08200,2015,12.2,15.2
08200,2016,13.5,13.5
08200,2017,12.2,13.6
08200,2018,11.5,12.9
08200,2019,11.0,13.2
08200,2020,11.4,13.4
08200,2021,10.9,13.1
08200,2022,9.3,14.1
08200,2023,8.0,14.6
08205,2015,43.2,10.1
08205,2016,45.1,9.3
08205,2017,43.4,9.2
08205,2018,43.1,9.0
08205,2019,42.0,9.0
08205,2020,42.6,8.3
08205,2021,42.5,8.0
08205,2022,40.4,8.5
08205,2023,38.3,9.0
08211,2015,19.5,11.5
08211,2016,20.9,10.5
08211,2017,19.6,10.1
08211,2018,18.9,9.7
08211,2019,18.5,9.7
08211,2020,18.9,10.1
08211,2021,18.7,9.7
08211,2022,16.6,10.5
08211,2023,15.1,10.9
08217,2015,23.3,10.8
08217,2016,24.9,10.1
08217,2017,22.6,10.2
08217,2018,22.3,9.6
08217,2019,21.0,9.3
08217,2020,21.2,10.0
08217,2021,21.4,9.5
08217,2022,18.6,10.2
08217,2023,17.0,10.5
08231,2015,14.8,21.8
08231,2016,14.9,20.9
08231,2017,14.5,19.7
08231,2018,14.3,18.6
08231,2019,13.4,17.9
08231,2020,13.5,18.2
08231,2021,13.7,17.6
08231,2022,12.9,18.4
08231,2023,11.8,18.4
08245,2015,6.7,25.0
08245,2016,7.4,23.8
08245,2017,6.3,23.9
08245,2018,5.9,22.9
08245,2019,5.5,23.6
08245,2020,5.8,24.2
08245,2021,5.6,23.2
08245,2022,4.5,24.8
08245,2023,3.9,25.3
08252,2015,14.2,12.3
08252,2016,15.2,11.2
08252,2017,13.6,10.7
08252,2018,13.3,10.6
08252,2019,12.2,10.4
08252,2020,13.0,10.3
08252,2021,12.4,9.5
08252,2022,10.5,10.9
08252,2023,9.1,11.5
08260,2015,14.0,15.1
08260,2016,15.0,13.7
08260,2017,14.1,14.1
08260,2018,12.9,13.3
08260,2019,12.3,13.2
08260,2020,12.4,13.2
08260,2021,12.1,12.7
08260,2022,10.1,13.4
08260,2023,9.0,12.8
08263,2015,10.5,15.9
08263,2016,12.2,14.3
08263,2017,11.4,13.6
08263,2018,10.8,12.4
08263,2019,10.1,12.5
08263,2020,10.4,12.6
08263,2021,10.2,12.8
08263,2022,8.4,13.2
08263,2023,7.8,13.3
08266,2015,21.2,12.3
08266,2016,23.3,11.3
08266,2017,21.0,11.0
08266,2018,20.4,10.6
08266,2019,19.8,10.4
08266,2020,20.5,10.7
08266,2021,19.9,10.2
08266,2022,17.4,11.2
08266,2023,16.1,11.6
08270,2015,27.2,18.8
08270,2016,28.4,17.8
08270,2017,27.9,17.2
08270,2018,27.0,17.1
08270,2019,26.8,16.7
08270,2020,26.6,17.3
08270,2021,27.2,16.5
08270,2022,25.6,16.9
08270,2023,24.6,17.1
08279,2015,14.1,18.7
08279,2016,15.3,17.4
08279,2017,13.8,17.0
08279,2018,13.3,16.3
08279,2019,12.6,16.3
08279,2020,12.8,16.3
08279,2021,12.8,15.9
08279,2022,10.7,16.9
08279,2023,9.5,17.3
08298,2015,15.0,17.4
08298,2016,16.3,15.8
08298,2017,14.5,16.4
08298,2018,14.0,16.4
08298,2019,13.2,18.1
08298,2020,13.6,17.1
08298,2021,12.9,16.0
08298,2022,11.4,16.7
08298,2023,10.5,18.4
08301,2015,13.7,13.8
08301,2016,15.2,12.7
08301,2017,13.6,12.5
08301,2018,13.1,11.9
08301,2019,12.1,12.1
08301,2020,12.5,11.9
08301,2021,12.7,11.2
08301,2022,10.5,12.4
08301,2023,9.5,12.4
08305,2015,14.8,19.0
08305,2016,15.6,17.7
08305,2017,14.1,17.6
08305,2018,13.5,16.4
08305,2019,12.5,16.4
08305,2020,12.7,16.2
08305,2021,13.0,15.8
08305,2022,10.9,17.4
08305,2023,9.9,17.8
08307,2015,16.4,17.4
08307,2016,17.5,16.5
08307,2017,16.2,16.0
08307,2018,15.4,15.1
08307,2019,14.9,14.5
08307,2020,15.7,14.8
08307,2021,15.2,14.1
08307,2022,14.1,14.6
08307,2023,12.8,15.6
09018,2015,11.8,18.7
09018,2016,13.3,17.6
09018,2017,11.6,17.5
09018,2018,11.0,17.1
09018,2019,9.8,17.5
09018,2020,10.1,18.3
09018,2021,9.4,17.7
09018,2022,8.3,19.5
09018,2023,7.2,19.8
09059,2015,16.9,14.2
09059,2016,17.6,13.0
09059,2017,16.0,12.8
09059,2018,15.1,12.4
09059,2019,14.0,12.7
09059,2020,14.3,12.9
09059,2021,13.6,12.5
09059,2022,12.1,13.6
09059,2023,10.9,14.2
09219,2015,12.6,16.7
09219,2016,13.9,15.2
09219,2017,12.6,15.2
09219,2018,12.3,14.1
09219,2019,10.5,15.4
09219,2020,10.6,15.7
09219,2021,9.8,15.9
09219,2022,8.6,17.2
09219,2023,7.6,17.6
10037,2015,14.1,19.6
10037,2016,14.9,19.0
10037,2017,13.1,19.4
10037,2018,12.0,18.9
10037,2019,11.6,18.7
10037,2020,11.8,18.5
10037,2021,11.2,17.6
10037,2022,9.7,18.6
10037,2023,8.8,18.7
10148,2015,9.9,27.4
10148,2016,10.3,26.6
10148,2017,8.9,25.9
10148,2018,8.3,25.2
10148,2019,8.0,24.9
10148,2020,8.1,25.1
10148,2021,8.0,23.3
10148,2022,6.8,24.6
10148,2023,6.2,25.0
11004,2015,11.4,31.9
11004,2016,11.8,29.9
11004,2017,10.3,30.2
11004,2018,9.4,29.3
11004,2019,8.9,28.7
11004,2020,9.1,29.8
11004,2021,8.3,29.6
11004,2022,7.3,30.8
11004,2023,6.4,30.5
11006,2015,2.7,40.9
11006,2016,2.9,38.9
11006,2017,2.5,36.8
11006,2018,2.4,34.3
11006,2019,2.3,33.3
11006,2020,2.5,34.8
11006,2021,2.5,32.8
11006,2022,2.3,33.3
11006,2023,2.0,31.6
11012,2015,13.8,21.1
11012,2016,14.8,20.5
11012,2017,13.4,20.3
11012,2018,12.8,19.5
11012,2019,12.2,18.8
11012,2020,12.6,19.2
11012,2021,12.2,18.5
11012,2022,11.1,19.2
11012,2023,10.2,18.9
11015,2015,5.5,37.1
11015,2016,5.9,35.8
11015,2017,5.1,35.1
11015,2018,4.9,32.9
11015,2019,4.9,31.2
11015,2020,5.1,32.5
11015,2021,5.3,30.5
11015,2022,4.5,31.3
11015,2023,4.3,30.2
11020,2015,6.8,32.8
11020,2016,7.3,31.5
11020,2017,6.6,31.2
11020,2018,6.4,29.9
11020,2019,6.1,29.1
11020,2020,6.3,29.7
11020,2021,6.2,28.6
11020,2022,5.6,29.3
11020,2023,5.2,28.5
11022,2015,6.6,40.2
11022,2016,6.7,40.5
11022,2017,6.2,40.0
11022,2018,6.0,39.4
11022,2019,6.0,38.8
11022,2020,6.3,38.9
11022,2021,6.3,37.2
