cod_ine,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
11032,2023,450.0,observado,EUR/mes,external_validation
11033,2023,600.0,observado,EUR/mes,external_validation
12009,2023,400.0,observado,EUR/mes,external_validation
12027,2023,350.0,observado,EUR/mes,external_validation
12032,2023,400.0,observado,EUR/mes,external_validation
12040,2023,454.3,observado,EUR/mes,external_validation
12084,2023,354.9,observado,EUR/mes,external_validation
12126,2023,391.9,observado,EUR/mes,external_validation
12135,2023,430.0,observado,EUR/mes,external_validation
12138,2023,400.0,observado,EUR/mes,external_validation
13005,2023,400.0,observado,EUR/mes,external_validation
13034,2023,419.4,observado,EUR/mes,external_validation
13071,2023,370.0,observado,EUR/mes,external_validation
13082,2023,323.0,observado,EUR/mes,external_validation
13087,2023,350.0,observado,EUR/mes,external_validation
14021,2023,504.2,observado,EUR/mes,external_validation
14038,2023,350.0,observado,EUR/mes,external_validation
14056,2023,350.0,observado,EUR/mes,external_validation
15002,2023,400.0,observado,EUR/mes,external_validation
15005,2023,400.0,observado,EUR/mes,external_validation
15019,2023,317.9,observado,EUR/mes,external_validation
15030,2023,500.0,observado,EUR/mes,external_validation
15031,2023,450.0,observado,EUR/mes,external_validation
15036,2023,370.1,observado,EUR/mes,external_validation
15054,2023,360.0,observado,EUR/mes,external_validation
15058,2023,486.4,observado,EUR/mes,external_validation
15073,2023,332.0,observado,EUR/mes,external_validation
15078,2023,461.3,observado,EUR/mes,external_validation
16078,2023,461.6,observado,EUR/mes,external_validation
17023,2023,510.0,observado,EUR/mes,external_validation
17066,2023,492.7,observado,EUR/mes,external_validation
17079,2023,650.0,observado,EUR/mes,external_validation
17095,2023,500.0,observado,EUR/mes,external_validation
17114,2023,490.6,observado,EUR/mes,external_validation
17155,2023,500.0,observado,EUR/mes,external_validation
18017,2023,494.0,observado,EUR/mes,external_validation
18087,2023,550.0,observado,EUR/mes,external_validation
18140,2023,448.6,observado,EUR/mes,external_validation
19046,2023,520.0,observado,EUR/mes,external_validation
19130,2023,550.0,observado,EUR/mes,external_validation
20030,2023,558.3,observado,EUR/mes,external_validation
20045,2023,701.9,observado,EUR/mes,external_validation
20067,2023,696.2,observado,EUR/mes,external_validation
20069,2023,927.5,observado,EUR/mes,external_validation
21041,2023,491.6,observado,EUR/mes,external_validation
21044,2023,397.6,observado,EUR/mes,external_validation
22125,2023,484.2,observado,EUR/mes,external_validation
23005,2023,350.0,observado,EUR/mes,external_validation
23050,2023,458.3,observado,EUR/mes,external_validation
23055,2023,360.0,observado,EUR/mes,external_validation
23092,2023,375.0,observado,EUR/mes,external_validation
24089,2023,459.0,observado,EUR/mes,external_validation
24115,2023,382.2,observado,EUR/mes,external_validation
24142,2023,400.0,observado,EUR/mes,external_validation
25120,2023,500.0,observado,EUR/mes,external_validation
26089,2023,500.0,observado,EUR/mes,external_validation
27028,2023,390.0,observado,EUR/mes,external_validation
28005,2023,651.1,observado,EUR/mes,external_validation
28006,2023,800.0,observado,EUR/mes,external_validation
28007,2023,700.0,observado,EUR/mes,external_validation
28013,2023,525.0,observado,EUR/mes,external_validation
28014,2023,600.0,observado,EUR/mes,external_validation
