cod_ine,nombre,anio,ipr4_nacional_observado,ipr5_prospectivo,cuartil_ipr,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
13034,Ciudad Real,2023,20.37608486017358,31.723645641081315,Q1,2023,419.4,observado,EUR/mes,external_validation
13071,Puertollano,2023,15.882352941176473,26.61258278145696,Q1,2023,370.0,observado,EUR/mes,external_validation
13082,Tomelloso,2023,5.361620057859209,13.597112148518075,Q1,2023,323.0,observado,EUR/mes,external_validation
13087,Valdepeñas,2023,9.1321118611379,21.371566605146025,Q1,2023,350.0,observado,EUR/mes,external_validation
14021,Córdoba,2023,49.02603664416587,52.79795896211051,Q2,2023,504.2,observado,EUR/mes,external_validation
14038,Lucena,2023,38.09064609450338,46.5823471935729,Q2,2023,350.0,observado,EUR/mes,external_validation
14056,Puente Génil,2023,18.70781099324976,29.610248615785473,Q1,2023,350.0,observado,EUR/mes,external_validation
15002,Ames,2023,49.93249758919962,44.47904679187928,Q2,2023,400.0,observado,EUR/mes,external_validation
15005,Arteixo,2023,31.513982642237224,27.97893822603409,Q1,2023,400.0,observado,EUR/mes,external_validation
15019,Carballo,2023,35.5062680810029,32.4154272066008,Q1,2023,317.9,observado,EUR/mes,external_validation
15030,Coruña (A),2023,75.23625843780135,66.43426338074042,Q4,2023,500.0,observado,EUR/mes,external_validation
15031,Culleredo,2023,53.57762777242045,47.378731950928234,Q3,2023,450.0,observado,EUR/mes,external_validation
15036,Ferrol,2023,35.110896817743495,32.228368255346865,Q1,2023,370.1,observado,EUR/mes,external_validation
15054,Narón,2023,16.981677917068467,15.527141461296278,Q1,2023,360.0,observado,EUR/mes,external_validation
15058,Oleiros,2023,36.55737704918033,33.25920095537944,Q1,2023,486.4,observado,EUR/mes,external_validation
15073,Ribeira,2023,50.009643201542914,46.382368906741945,Q3,2023,332.0,observado,EUR/mes,external_validation
15078,Santiago de Compostela,2023,60.28929604628736,51.74259038106612,Q3,2023,461.3,observado,EUR/mes,external_validation
16078,Cuenca,2023,26.67309546769528,26.595972207143635,Q1,2023,461.6,observado,EUR/mes,external_validation
17023,Blanes,2023,74.09836065573771,65.31804364346976,Q4,2023,510.0,observado,EUR/mes,external_validation
17066,Figueres,2023,37.01060752169721,34.83649983715124,Q2,2023,492.7,observado,EUR/mes,external_validation
17079,Girona,2023,44.23336547733848,41.07518184779069,Q2,2023,650.0,observado,EUR/mes,external_validation
17095,Lloret de Mar,2023,73.71263259402122,64.14580393008359,Q4,2023,500.0,observado,EUR/mes,external_validation
17114,Olot,2023,32.57473481195757,29.77461730539572,Q1,2023,490.6,observado,EUR/mes,external_validation
17155,Salt,2023,17.41562198649952,16.69069590706764,Q1,2023,500.0,observado,EUR/mes,external_validation
18017,Almuñecar,2023,71.80327868852459,67.88709152100749,Q4,2023,494.0,observado,EUR/mes,external_validation
18087,Granada,2023,67.25168756027003,68.73678210834872,Q4,2023,550.0,observado,EUR/mes,external_validation
18140,Motril,2023,58.910318225650926,59.36184996200195,Q3,2023,448.6,observado,EUR/mes,external_validation
19046,Azuqueca de Henares,2023,41.85149469623915,40.590326783194,Q2,2023,520.0,observado,EUR/mes,external_validation
19130,Guadalajara,2023,41.060752169720345,41.0109108674411,Q2,2023,550.0,observado,EUR/mes,external_validation
20030,Eibar,2023,44.70588235294118,39.688741721854306,Q2,2023,558.3,observado,EUR/mes,external_validation
20045,Irun,2023,62.0443587270974,54.32710889154272,Q3,2023,701.9,observado,EUR/mes,external_validation
20067,Errenteria,2023,55.94985535197685,48.99777440017371,Q3,2023,696.2,observado,EUR/mes,external_validation
20069,San Sebastián/Donostia,2023,72.42044358727098,62.60042340679622,Q4,2023,927.5,observado,EUR/mes,external_validation
21041,Huelva,2023,62.65188042430088,62.8898599500597,Q3,2023,491.6,observado,EUR/mes,external_validation
21044,Lepe,2023,45.54484088717455,43.63033329714472,Q2,2023,397.6,observado,EUR/mes,external_validation
22125,Huesca,2023,37.90742526518804,38.62859624362176,Q2,2023,484.2,observado,EUR/mes,external_validation
23005,Andújar,2023,25.689488910318225,35.34599934860493,Q1,2023,350.0,observado,EUR/mes,external_validation
23050,Jaén,2023,28.736740597878494,39.17788513733579,Q1,2023,458.3,observado,EUR/mes,external_validation
23055,Linares,2023,14.734811957569914,27.226576918901316,Q1,2023,360.0,observado,EUR/mes,external_validation
23092,Úbeda,2023,44.42622950819673,52.712626207795026,Q2,2023,375.0,observado,EUR/mes,external_validation
24089,León,2023,41.58148505303761,38.6224079904462,Q2,2023,459.0,observado,EUR/mes,external_validation
24115,Ponferrada,2023,22.931533269045325,21.776571490609054,Q1,2023,382.2,observado,EUR/mes,external_validation
24142,San Andrés  del Rabanedo,2023,22.295081967213115,19.497177288025185,Q1,2023,400.0,observado,EUR/mes,external_validation
25120,Lleida,2023,30.49180327868853,31.5306155683422,Q1,2023,500.0,observado,EUR/mes,external_validation
26089,Logroño,2023,52.0443587270974,46.22445988492021,Q3,2023,500.0,observado,EUR/mes,external_validation
27028,Lugo,2023,48.81388621022179,46.85604168928455,Q2,2023,390.0,observado,EUR/mes,external_validation
28005,Alcalá de Henares,2023,65.05303760848602,64.28514819237868,Q4,2023,651.1,observado,EUR/mes,external_validation
28006,Alcobendas,2023,59.73963355834138,64.63630441862989,Q3,2023,800.0,observado,EUR/mes,external_validation
28007,Alcorcón,2023,65.14946962391514,68.09228096840735,Q4,2023,700.0,observado,EUR/mes,external_validation
28013,Aranjuez,2023,49.82642237222758,56.90543914884377,Q2,2023,525.0,observado,EUR/mes,external_validation
28014,Arganda del Rey,2023,40.60752169720348,43.35745304527195,Q2,2023,600.0,observado,EUR/mes,external_validation
28022,Boadilla del Monte,2023,44.89874638379943,49.68711323417653,Q2,2023,1200.0,observado,EUR/mes,external_validation
28045,Colmenar Viejo,2023,53.828351012536174,55.687873195092834,Q3,2023,672.9,observado,EUR/mes,external_validation
28047,Collado Villalba,2023,50.98360655737705,50.14070133535989,Q3,2023,650.0,observado,EUR/mes,external_validation
28049,Coslada,2023,61.31147540983608,63.38958853544675,Q3,2023,700.0,observado,EUR/mes,external_validation
28058,Fuenlabrada,2023,37.32883317261331,44.54407773314515,Q2,2023,650.0,observado,EUR/mes,external_validation
28061,Galapagar,2023,38.630665380906464,43.564542394962544,Q2,2023,600.0,observado,EUR/mes,external_validation
