cod_ine,nombre,provincia,adaptecca_id,estado_mapeo
46145,Xàtiva,Valencia/València,1462,ok
46159,Manises,Valencia/València,7032,ok
46169,Mislata,Valencia/València,7026,ok
46181,Oliva,Valencia/València,853,ok
46184,Ontinyent,Valencia/València,7051,ok
46190,Paterna,Valencia/València,7058,ok
46220,Sagunt/Sagunto,Valencia/València,233,ok
46235,Sueca,Valencia/València,1464,ok
46244,Torrent,Valencia/València,7089,ok
46250,València,Valencia/València,1465,ok
47186,Valladolid,Valladolid,1305,ok
48013,Barakaldo,Bizkaia,8067,ok
48015,Basauri,Bizkaia,8068,ok
48020,Bilbao,Bizkaia,8072,ok
48027,Durango,Bizkaia,1959,ok
48036,Galdakao,Bizkaia,8081,ok
48044,Getxo,Bizkaia,676,ok
48054,Leioa,Bizkaia,6582,ok
48078,Portugalete,Bizkaia,8096,ok
48082,Santurtzi,Bizkaia,8104,ok
48084,Sestao,Bizkaia,459,ok
49275,Zamora,Zamora,5173,ok
50297,Zaragoza,Zaragoza,3183,ok
51001,Ceuta,Ceuta,8257,ok
52001,Melilla,Melilla,124,ok
