cod_ine,anio,ipr,dqs,dqs_level,local_moran_i,p_value,p_value_fdr,quadrant,cluster_type,cluster_type_raw,is_significant,is_significant_raw,eligible,exclusion_reason,neighbor_count,neighbors,standardized_ipr,spatial_lag,spatial_lag_ipr,calculation_version,calculated_at
39075,2023,73.82835101253617,,,-1.4660042661758566,0.276,0.8552112676056338,HL,NS,NS,False,False,True,,1,['39016'],1.1197789669796376,-1.3151687904581193,27.830279652844744,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
39087,2023,39.09353905496625,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
40194,2023,51.39826422372227,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41004,2023,43.15332690453231,,,0.1554621893038493,0.462,0.874601226993865,LL,NS,NS,False,False,True,,5,"['41024', '41038', '41069', '41091', '41095']",-0.5040300092068415,-0.3098467540853902,46.82160077145613,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41021,2023,70.76181292189007,,,1.2511658818822047,0.196,0.7946268656716418,HH,NS,NS,False,False,True,,1,['41091'],0.9574491164837866,1.3127370911539495,77.47348119575699,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41024,2023,32.42044358727098,,,-0.3323208086940825,0.596,0.874601226993865,LH,NS,NS,False,False,True,,3,"['41004', '41081', '41091']",-1.0721844859423177,0.3113626989442226,58.55673416907746,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41034,2023,31.28254580520733,,,-0.5798241018869644,0.552,0.874601226993865,LH,NS,NS,False,False,True,,1,['41038'],-1.132420090843294,0.5143600906020317,62.391513982642245,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41038,2023,62.391513982642245,,,-0.26910442023713554,0.226,0.7946268656716418,HL,NS,NS,False,False,True,,5,"['41004', '41034', '41069', '41091', '41095']",0.5143600906020317,-0.52557189502736,42.74638379942141,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41039,2023,19.14175506268081,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
41053,2023,36.66345226615237,,,-0.09114333572279705,0.868,0.9453465346534654,LH,NS,NS,False,False,True,,2,"['11006', '11020']",-0.8475771456335939,0.10802499313443104,54.71552555448409,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
